trial_id,mean_cv_score,std_cv_score,min_samples_leaf,max_leaf_nodes,max_iter,max_depth,learning_rate,l2_regularization
64,-1046.7924988760365,86.63416505486335,20,15,500,3.0,0.03,1.0
65,-1141.1142161620842,300.67853710439977,100,31,800,7.0,0.1,0.1
66,-1107.6685807027147,286.014835792039,100,31,300,,0.1,1.0
67,-1027.2320909476039,158.97359426554158,20,15,500,,0.1,0.0
68,-1126.9782228422089,265.3402514306891,100,15,800,7.0,0.1,0.0
69,-1132.0862460352678,301.24478244580956,100,63,800,,0.05,0.0
70,-1000.392888113374,133.11641642191557,20,31,300,5.0,0.05,1.0
71,-1082.0509511589516,191.81888380257698,20,31,500,,0.1,1.0
72,-978.0244445960219,136.24684384763995,20,15,500,7.0,0.03,0.0
73,-1014.7643624191629,174.03698655653793,50,15,800,5.0,0.05,1.0
74,-1022.6928280287764,162.1545511542713,100,15,800,3.0,0.03,0.1
75,-1039.5968189681519,186.5005939431043,50,63,500,5.0,0.1,0.1
76,-1099.8003303695698,277.4901871356564,100,63,300,5.0,0.03,0.1
77,-1049.3755136964833,91.62762021330585,20,15,300,3.0,0.05,0.1
78,-1048.2861207129913,210.57331700052794,50,15,300,7.0,0.1,0.1
79,-1122.0704000103156,191.03795017928854,50,63,300,,0.03,0.0
80,-1005.1746545326918,117.01499008841387,20,63,300,5.0,0.03,0.1
81,-1074.5592105028602,301.7508981614939,100,31,300,,0.03,0.0
82,-1144.5822948047648,195.1826575521636,50,63,500,,0.05,1.0
83,-1067.9622750862245,131.0816775636383,50,31,800,3.0,0.03,1.0
84,-994.16339118675,100.73674959255703,20,63,500,3.0,0.1,0.0
85,-1116.5818292261943,146.64036293468604,20,63,500,,0.1,0.1
86,-1076.4016115725321,283.02795886752295,100,63,500,7.0,0.05,1.0
87,-1071.9926917890439,235.5976761944242,100,15,500,7.0,0.1,0.1
88,-1116.956256680529,250.31687183668933,50,31,300,7.0,0.1,1.0
89,-1082.053673486465,258.6254402148,100,31,300,7.0,0.1,0.0
90,-1062.459341655122,227.56426813101075,50,15,500,,0.05,0.0
91,-1057.0206627624893,250.93937817459644,100,15,800,7.0,0.05,0.1
92,-1195.5549171983923,269.31650725869065,50,31,500,,0.1,0.0
93,-1074.9653272485543,293.68278197082384,100,31,300,,0.05,1.0
94,-1053.682153840718,209.62033115252152,50,15,300,,0.1,1.0
95,-1077.9274432386824,279.24726590215175,100,31,800,5.0,0.1,0.1
96,-994.6105237968266,130.95104534708753,20,15,500,7.0,0.1,0.1
97,-1073.2129028214526,296.6153691327704,100,31,500,7.0,0.03,1.0
98,-1024.158531851091,148.14913894638443,20,63,500,7.0,0.05,1.0
99,-1003.5853333518362,139.56548110756532,20,15,300,,0.1,0.1
