trial_id,mean_cv_score,std_cv_score,colsample_bytree,gamma,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,subsample
82,0.46250947687642147,0.015630768226293904,0.9576869051583703,0.06437419914982195,0.10902985399304661,11,75,0.7994103989090426,1.7558007789818155,0.6327036127795488
83,0.495754359363154,0.01979396228078588,0.9494314496427109,0.4604362002659066,0.028323387956459126,6,50,0.08451700768068193,1.694556164510861,0.9945027983467261
84,0.4704700530705079,0.01541880512822201,0.814636258394933,0.46202087955371657,0.08083495993522129,9,127,0.4625347161331479,1.994941876267513,0.6146732811562391
85,0.447877179681577,0.014552730436406395,0.7009747777376083,0.3566747929422762,0.2785620513061598,4,299,0.35414667079312545,1.294327665008165,0.6419476666129923
86,0.47501895375284303,0.021842553456588355,0.8949620824375276,0.09114193923797903,0.1791895276056509,3,280,0.08920432871205619,1.570671128031047,0.6932865646199204
87,0.4624715693707354,0.014872598142954371,0.7371707457113041,0.23698497071527808,0.11653129098379142,11,158,0.4795821017542502,1.6683989694283385,0.8947289901579651
88,0.4556861258529189,0.014802092220907084,0.823096906380175,0.29326771733037954,0.17933756275679238,11,150,0.3630822963986351,1.7918344826632024,0.8283113218675647
89,0.4764594389689159,0.026095511495815512,0.7424386903591385,0.49325762439648985,0.19173244580706614,3,230,0.10178247262040374,0.805718278368664,0.6983830913538033
90,0.46618650492797575,0.014240614332530103,0.6642725493038223,0.09328351202565288,0.09552855060815413,10,104,0.8423140352981816,0.6032709557490257,0.6072969925713444
91,0.4824488248673237,0.015014243757796282,0.8787845849465685,0.4986277673841972,0.27898307889220625,6,269,0.9173956130855316,0.5106000127952108,0.990026865178057
92,0.4774450341167551,0.017093300953782656,0.7962995117035138,0.36144804831088784,0.2562584419460058,4,128,0.5350367320449105,1.453238968252824,0.93543302348105
93,0.4680439727065959,0.015614303598516654,0.6820310240597837,0.4839970332521171,0.2232857436510245,6,274,0.7362471836984882,1.5596800463622333,0.8828920382577778
94,0.4608794541319181,0.02046359373560131,0.9071118005771355,0.04364508979483772,0.1618311869078041,6,126,0.5325894325515859,0.6036470736448538,0.7346417112775683
95,0.4223275208491281,0.011456222712135368,0.6537658707755897,0.03168748523638387,0.30698806971698356,10,179,0.08786811124265681,0.7776495468840408,0.6010843597657318
96,0.47179681576952237,0.023787797997127377,0.6466784256566726,0.2365831005259461,0.19183056431675158,5,143,0.10669925011343606,2.2014549200329094,0.8983898102194872
97,0.4760803639120546,0.013891639792563363,0.7634073171743667,0.4664690335499773,0.3072788429372172,4,125,0.3792285849638004,2.3528988471794223,0.8886386203005108
98,0.46664139499620927,0.016962496945786658,0.6192378575856351,0.39075724087570746,0.25838226615324755,7,63,0.7995371309195156,2.1502653533855947,0.6745619947152576
99,0.43965125094768764,0.018043176312851104,0.6942766984259999,0.3168792818600886,0.2823598391387548,11,286,0.5883066757950567,1.8659641268342648,0.7807794405196157
