trial_id,mean_cv_score,std_cv_score,bootstrap,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
52,-31826.02770260811,5562.775275613427,False,5,log2,5,17,197
53,-38874.21286147913,7444.2686129267,False,12,,3,18,177
54,-40346.482628977115,6486.356429441044,True,20,,3,15,207
55,-37516.77610036018,6827.0997056997185,False,10,sqrt,3,9,76
56,-32654.92916318526,5575.603404304508,True,6,sqrt,1,16,241
57,-36348.77287833253,6768.689168291079,True,9,sqrt,3,5,84
58,-40691.47255004013,7129.853972145431,False,21,sqrt,5,7,148
59,-40222.759746611075,7634.495864238704,False,13,sqrt,8,18,95
60,-33972.94836433614,6166.588290933392,True,7,sqrt,4,2,116
61,-40824.99358606202,7353.563666664471,False,22,sqrt,6,4,153
62,-40837.182691036694,6743.1433418405995,False,28,log2,6,3,176
63,-39785.059086052126,6804.929951367309,True,14,log2,1,9,210
64,-40054.58397629442,7074.066499505682,True,15,log2,7,11,296
65,-34011.63800083108,6193.301234934471,False,7,log2,9,14,109
66,-38455.818079012715,6731.732554626745,False,11,sqrt,4,14,69
67,-39280.628170417775,7647.972776115431,True,12,log2,3,16,141
68,-32684.54313553859,5522.599260142133,False,6,,6,18,229
69,-36978.38134300998,7035.77229977216,False,10,,6,12,237
70,-31784.587250159453,5587.726044313068,True,5,sqrt,5,8,245
71,-41319.57208210583,6946.040326271583,False,17,log2,3,9,101
72,-40395.18581166409,6822.643515901712,False,17,log2,3,18,169
73,-40335.24196847495,6782.065694765553,True,23,log2,7,6,267
74,-40429.50833443761,6609.942917864734,True,27,,9,13,294
75,-31956.171306429773,5329.106713552604,True,5,,2,17,138
76,-40292.373469104,6690.333832583714,False,17,sqrt,1,17,238
77,-36370.39300857873,7007.380510686864,True,9,log2,7,4,125
78,-40316.5153118933,6685.86143249127,False,20,,5,15,269
79,-40164.114785353086,7012.932222892211,True,19,sqrt,4,6,253
80,-40903.96087959912,6680.518409730508,False,20,sqrt,7,5,82
81,-36264.12738469949,7157.420621258719,False,9,,6,6,149
82,-40346.29502787207,6584.1603675263295,False,24,,3,2,297
83,-40283.91789721229,6644.5252692596905,True,17,,2,18,269
84,-40437.14003480183,6405.279127156039,False,24,log2,3,2,210
85,-41093.99533797789,6854.600377636925,True,23,,5,13,116
86,-31735.906852364657,5288.844248735492,True,5,log2,2,19,84
87,-40881.065080648215,7027.142184156473,True,21,log2,8,11,139
88,-32677.926275051876,5595.820495228097,False,6,,9,8,245
89,-40056.58857026043,6836.2286364895535,False,25,log2,8,5,266
90,-40503.28950563766,6834.276158255819,True,29,log2,5,10,201
91,-33961.63756200425,6143.2005318447855,False,7,sqrt,3,17,85
92,-41220.516285618694,5995.3706710734805,False,21,,8,6,61
93,-41154.668254808304,6721.064564936655,True,27,sqrt,7,4,154
94,-40253.25150018597,6827.80053720823,False,21,sqrt,4,17,266
95,-40696.87253691488,6948.154205417257,False,17,,3,18,149
96,-39812.432115056006,6875.176730776948,False,13,,9,8,77
97,-40811.82861787312,7021.579588627514,False,24,,5,6,148
98,-41670.4684695604,7385.222404113656,False,29,,5,5,102
99,-40346.47157776897,6590.460562460234,True,20,sqrt,7,14,230
