trial_id,mean_cv_score,std_cv_score,min_samples_leaf,max_leaf_nodes,max_iter,max_depth,learning_rate,l2_regularization
44,-33359.5011521968,9028.812544673732,20,63,500,,0.03,0.0
45,-30781.763739559807,7212.268156745526,20,31,300,3.0,0.03,0.1
46,-31862.822412229794,8395.16676469423,100,63,500,5.0,0.1,0.1
47,-31464.3453192256,7292.087585831022,50,31,500,7.0,0.03,0.0
48,-31734.926236163457,7154.511504724282,20,31,500,5.0,0.03,0.0
49,-30936.955789204698,7079.314832253935,20,31,300,3.0,0.05,1.0
50,-30596.527898272838,7355.711201533489,100,63,800,7.0,0.03,0.1
51,-31888.524280105215,7218.214604083577,20,31,300,5.0,0.05,0.1
52,-31425.801764204178,7308.866997033518,20,31,500,3.0,0.05,0.0
53,-34115.62937487505,9394.487141521739,20,31,800,,0.1,0.0
54,-31565.130552469236,7203.447293541113,50,31,300,5.0,0.05,0.0
55,-29658.72501241498,6658.1655363059535,100,15,300,5.0,0.03,1.0
56,-31188.12690724407,7461.68339379752,100,63,500,3.0,0.1,0.1
57,-31432.460158392823,8036.692024348818,100,63,800,,0.03,0.0
58,-30912.953705605847,7149.729523263648,100,63,300,3.0,0.1,1.0
59,-31076.829685401368,7537.448010775356,100,31,300,5.0,0.1,0.1
60,-31924.085137820475,7288.860776028286,50,31,800,5.0,0.05,0.1
61,-30579.595666551624,6956.297195515978,50,31,300,7.0,0.03,0.1
62,-32058.20719595388,8252.827438809696,20,31,500,7.0,0.03,0.0
63,-33376.55635592794,8693.358987310676,50,31,800,7.0,0.1,0.0
64,-31255.319643593404,7329.3190829552495,20,15,500,3.0,0.03,1.0
65,-33085.055384426836,9606.034657601269,100,31,800,7.0,0.1,0.1
66,-32877.262113927805,8618.164593668229,100,31,300,,0.1,1.0
67,-32369.697457995964,8044.239932278283,20,15,500,,0.1,0.0
68,-32367.923876473436,9061.670383887875,100,15,800,7.0,0.1,0.0
69,-32412.337199496716,8700.535752763677,100,63,800,,0.05,0.0
70,-31145.68482880666,7365.947656286341,20,31,300,5.0,0.05,1.0
71,-33640.44504973937,8657.07882596288,20,31,500,,0.1,1.0
72,-31081.16105728998,7116.840964852952,20,15,500,7.0,0.03,0.0
73,-31767.043043321326,7660.615511602588,50,15,800,5.0,0.05,1.0
74,-30463.232150999036,6847.463278610164,100,15,800,3.0,0.03,0.1
75,-32598.16333478833,7564.505406236044,50,63,500,5.0,0.1,0.1
76,-29729.345549074795,6780.057609157556,100,63,300,5.0,0.03,0.1
77,-31392.455568135403,7275.565979669257,20,15,300,3.0,0.05,0.1
78,-32354.54317626615,7668.494954520864,50,15,300,7.0,0.1,0.1
79,-31017.782447622252,7193.2325569306295,50,63,300,,0.03,0.0
80,-31138.155473524617,7325.439142396111,20,63,300,5.0,0.03,0.1
81,-30077.079688332735,7071.951669739221,100,31,300,,0.03,0.0
82,-32990.88786084509,8688.672509171154,50,63,500,,0.05,1.0
83,-30859.0727659091,6470.167903160268,50,31,800,3.0,0.03,1.0
84,-32362.612867736898,8058.598736798885,20,63,500,3.0,0.1,0.0
85,-34959.9636796962,10200.085096806639,20,63,500,,0.1,0.1
86,-30753.4702559536,7588.955395113624,100,63,500,7.0,0.05,1.0
87,-31557.02080308738,8372.813194648585,100,15,500,7.0,0.1,0.1
88,-33046.080000907314,7818.863822145698,50,31,300,7.0,0.1,1.0
89,-31990.22053606755,8171.340907567727,100,31,300,7.0,0.1,0.0
90,-31960.276965058,7243.096737968548,50,15,500,,0.05,0.0
91,-31319.20139235948,8213.08504982658,100,15,800,7.0,0.05,0.1
92,-33832.99150816698,9015.504054195248,50,31,500,,0.1,0.0
93,-31198.567556869217,7469.970684723088,100,31,300,,0.05,1.0
94,-32394.50168018149,8058.335966774974,50,15,300,,0.1,1.0
95,-32294.723784695343,8949.421249563515,100,31,800,5.0,0.1,0.1
96,-33215.41284715454,8302.30806438373,20,15,500,7.0,0.1,0.1
97,-30163.10469612818,7165.334549205327,100,31,500,7.0,0.03,1.0
98,-33335.15643813818,8291.021635921768,20,63,500,7.0,0.05,1.0
99,-32612.201555166568,8125.427458783774,20,15,300,,0.1,0.1
