trial_id,mean_cv_score,std_cv_score,bootstrap,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
51,-59459.23378839305,19662.4142788198,False,26,,9,5,210
52,-44749.10416046594,18465.303457543585,False,5,log2,5,17,197
53,-54184.91577671268,19280.83531388462,False,12,,3,18,177
54,-59682.933878552765,20058.51399400045,True,20,,3,15,207
55,-54443.44123443829,24070.49911037948,False,10,sqrt,3,9,76
56,-45741.14064355552,18701.58136634577,True,6,sqrt,1,16,241
57,-54585.25258556623,26235.412964457475,True,9,sqrt,3,5,84
58,-60556.61469066242,21004.882918561536,False,21,sqrt,5,7,148
59,-56144.365434906955,20487.64068080338,False,13,sqrt,8,18,95
60,-48285.86403234971,20609.91685319795,True,7,sqrt,4,2,116
61,-62063.959774651084,23185.645876096638,False,22,sqrt,6,4,153
62,-59224.82757101753,19258.504588113396,False,28,log2,6,3,176
63,-56229.437784194015,19252.134752853028,True,14,log2,1,9,210
64,-57425.146055542515,18747.42158604658,True,15,log2,7,11,296
65,-48867.40353937397,21535.62459001688,False,7,log2,9,14,109
66,-55072.17781202846,22208.87837106098,False,11,sqrt,4,14,69
67,-54935.66181424239,20167.42408208782,True,12,log2,3,16,141
68,-45990.554159557665,19255.810259272635,False,6,,6,18,229
69,-51458.24421687963,18940.22015220078,False,10,,6,12,237
70,-44235.57879803839,17388.197961581627,True,5,sqrt,5,8,245
71,-62437.78691713988,25633.82470960525,False,17,log2,3,9,101
72,-59816.66635824447,21493.47488293424,False,17,log2,3,18,169
73,-59626.684635765174,19506.38195629942,True,23,log2,7,6,267
74,-58962.33533995923,18759.572514673404,True,27,,9,13,294
75,-45874.82085862338,20276.117713583604,True,5,,2,17,138
76,-58940.88717864339,20176.375091330912,False,17,sqrt,1,17,238
77,-53098.32123597892,23351.47093697318,True,9,log2,7,4,125
78,-59321.47468668404,19472.98940795446,False,20,,5,15,269
79,-57825.232962107795,17579.877745151367,True,19,sqrt,4,6,253
80,-64017.10411947417,25737.6594773432,False,20,sqrt,7,5,82
81,-52051.10885690923,21707.791003607294,False,9,,6,6,149
82,-59209.0711796995,18989.838677710854,False,24,,3,2,297
83,-58337.43281366422,19152.452385722645,True,17,,2,18,269
84,-59956.4002865613,20232.259678310802,False,24,log2,3,2,210
85,-62641.98750048401,23827.421035781495,True,23,,5,13,116
86,-46880.08506727775,22306.011799988268,True,5,log2,2,19,84
87,-61088.316878070866,21813.998352926927,True,21,log2,8,11,139
88,-45644.15590675719,18517.078119899532,False,6,,9,8,245
89,-58378.69367914317,18258.82204494694,False,25,log2,8,5,266
90,-59694.48991139394,19975.131349908836,True,29,log2,5,10,201
91,-50389.116018999295,24280.453242825053,False,7,sqrt,3,17,85
92,-62315.91183677176,23826.58055041192,False,21,,8,6,61
93,-60375.069733395976,20585.627591435044,True,27,sqrt,7,4,154
94,-58940.89394852781,18912.13546962646,False,21,sqrt,4,17,266
95,-60880.200796383666,22678.899378244678,False,17,,3,18,149
96,-57234.271130269204,21227.555158371764,False,13,,9,8,77
97,-60875.85752498657,20849.845261057315,False,24,,5,6,148
98,-61978.11610861835,23026.92206941437,False,29,,5,5,102
99,-59770.03417834836,20299.456051871904,True,20,sqrt,7,14,230
