trial_id,mean_cv_score,std_cv_score,min_samples_leaf,max_leaf_nodes,max_iter,max_depth,learning_rate,l2_regularization
86,-36676.56210900537,10037.94209306969,100,63,500,7.0,0.05,1.0
87,-37675.7204537328,11694.21047432259,100,15,500,7.0,0.1,0.1
88,-39017.57903156387,12688.533412841256,50,31,300,7.0,0.1,1.0
89,-37442.767220409434,10648.241469219214,100,31,300,7.0,0.1,0.0
90,-38575.691348369124,12609.222172322752,50,15,500,,0.05,0.0
91,-37106.81519459459,11226.567219047573,100,15,800,7.0,0.05,0.1
92,-42387.286777177316,16432.955099303457,50,31,500,,0.1,0.0
93,-37204.29536675711,10476.001027954704,100,31,300,,0.05,1.0
94,-39675.28384750236,13871.777808102379,50,15,300,,0.1,1.0
95,-38117.996595793484,12348.165832979386,100,31,800,5.0,0.1,0.1
96,-40901.55307945433,13305.804267713,20,15,500,7.0,0.1,0.1
97,-35922.1628759442,9220.463669678871,100,31,500,7.0,0.03,1.0
98,-41379.91180896679,11755.87393218789,20,63,500,7.0,0.05,1.0
99,-40321.574733043184,12191.14947128634,20,15,300,,0.1,0.1
